"","GEOID","locality","estimate","moe","total_pop","percent","year","label"
"1","51003","Albemarle County, Virginia",105880,NA,112513,94.1,2022,"Not Hispanic or Latino"
"2","51003","Albemarle County, Virginia",6633,NA,112513,5.9,2022,"Hispanic or Latino"
"3","51003","Albemarle County, Virginia",104901,NA,111438,94.13,2021,"Not Hispanic or Latino"
"4","51003","Albemarle County, Virginia",6537,NA,111438,5.87,2021,"Hispanic or Latino"
"5","51003","Albemarle County, Virginia",102547,NA,108819,94.24,2020,"Not Hispanic or Latino"
"6","51003","Albemarle County, Virginia",6272,NA,108819,5.76,2020,"Hispanic or Latino"
"7","51003","Albemarle County, Virginia",101205,NA,107405,94.23,2019,"Not Hispanic or Latino"
"8","51003","Albemarle County, Virginia",6200,NA,107405,5.77,2019,"Hispanic or Latino"
"9","51003","Albemarle County, Virginia",100187,NA,106355,94.2,2018,"Not Hispanic or Latino"
"10","51003","Albemarle County, Virginia",6168,NA,106355,5.8,2018,"Hispanic or Latino"
"11","51003","Albemarle County, Virginia",99114,NA,105105,94.3,2017,"Not Hispanic or Latino"
"12","51003","Albemarle County, Virginia",5991,NA,105105,5.7,2017,"Hispanic or Latino"
"13","51003","Albemarle County, Virginia",98455,NA,104287,94.41,2016,"Not Hispanic or Latino"
"14","51003","Albemarle County, Virginia",5832,NA,104287,5.59,2016,"Hispanic or Latino"
"15","51003","Albemarle County, Virginia",97257,NA,103108,94.33,2015,"Not Hispanic or Latino"
"16","51003","Albemarle County, Virginia",5851,NA,103108,5.67,2015,"Hispanic or Latino"
"17","51003","Albemarle County, Virginia",96185,NA,101883,94.41,2014,"Not Hispanic or Latino"
"18","51003","Albemarle County, Virginia",5698,NA,101883,5.59,2014,"Hispanic or Latino"
"19","51003","Albemarle County, Virginia",95047,NA,100636,94.45,2013,"Not Hispanic or Latino"
"20","51003","Albemarle County, Virginia",5589,NA,100636,5.55,2013,"Hispanic or Latino"
"21","51003","Albemarle County, Virginia",94141,NA,99484,94.63,2012,"Not Hispanic or Latino"
"22","51003","Albemarle County, Virginia",5343,NA,99484,5.37,2012,"Hispanic or Latino"
